model,accuracy_mean,accuracy_std,balanced_accuracy_mean,f1_macro_mean,fit_time_mean_seconds
rbf_svm,0.9622222222222222,0.04192880503136268,0.9622222222222222,0.962331080225817,0.002093505859375
knn,0.9600000000000002,0.03030707043774634,0.9600000000000001,0.9599377230956178,0.0016168753306070964
random_forest,0.9600000000000001,0.034854193647462485,0.9600000000000001,0.9598659949537142,0.19592421849568684
logistic_regression,0.9533333333333334,0.03610683735393759,0.9533333333333334,0.9531826198492864,0.00350341796875
gaussian_nb,0.9511111111111111,0.03823255674241166,0.9511111111111111,0.95099938398184,0.0010688304901123047
